review,Eng,vader_score,vader_compound,textblob_score
其實兩樣嘢都有唔同人對唔同嘅需求，有人會鍾意理財保險，有人會鍾意貨幣基金。,"In fact, in both cases, there are different needs for different people. Some people will like financial insurance, and some people will like money funds.","{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.6124}",0.6124,0.0
我相信宜個POST應該解答到樓主既問題,I believe that a POST should answer both the landlord's questions,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
講得好好，就係儲一筆，低风險，高回報既，就可以抗通脹，有D人已經買唔到任何保障，就當medical saving 甘儲,"If you talk about it well, it is a savings. With low risk and high return, you can resist inflation. Some people have already bought any protection, and they are regarded as medical saving.","{'neg': 0.113, 'neu': 0.831, 'pos': 0.056, 'compound': -0.2732}",-0.2732,0.05333333333333334
竟然會有人信啲連計數都冇嘅些屎話術鱔稿,There will be people who believe that even the counts are not good,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.3412}",-0.3412,-0.35
呢行大把些屎寫鱔稿增加知名度,Do a lot of shit writing eel manuscript to increase visibility,"{'neg': 0.242, 'neu': 0.604, 'pos': 0.154, 'compound': -0.3182}",-0.3182,-0.2
"俾幾錢投個專欄就自己諗, 然而唔少講一套做一套, 寫稿表面似中立, 實做就劏客.","I would like to spend a few dollars on a column to admire myself. However, I don't talk about one set and one set. The writing seems neutral, so if you do it, you will be a broker.","{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.6808}",0.6808,-0.2
雖然唔明師兄點解冇嘮氣 但事實上樓主唔係問計數,"Although Brother Ming didn’t explain, he didn’t ask for the count.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
係問有乜價值 咁我照答咁解,"Ask questions have value, I will answer","{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.34}",0.34,0.0
其實每一行都會有好與壞 不能以偏概全既,"In fact, every line will have good and bad, not all","{'neg': 0.227, 'neu': 0.584, 'pos': 0.188, 'compound': -0.1531}",-0.1531,5.551115123125783e-17
加上我覺得個專欄寫得幾岩呀,Plus I think a column is a bit rocky,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
當初我買果陣都係因為宜幾個因素,"At first, I bought fruit arrays because of several factors","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.125
講當初買果陣不如講些人買果陣啦,It’s better to say that some people buy fruit arrays.,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",0.4404,0.5
"些屎自然會賣花讚花香, 明嘅","Some shit will naturally sell flowers and praise flowers, Ming","{'neg': 0.237, 'neu': 0.526, 'pos': 0.237, 'compound': 0.0}",0.0,-0.05
你意思係人壽轉人壽﹖,Do you mean from life to life?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.3125
醫療危疾都轉得,Medical critical illnesses are transferred,"{'neg': 0.647, 'neu': 0.353, 'pos': 0.0, 'compound': -0.6705}",-0.6705,0.0
邊個負責你地個間？女仔離？,Which side is responsible for your room? Girls away?,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.3939}",0.3939,0.2
要去細m上...灣仔上,Going to fine m... Wan Chai,"{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.2023}",0.2023,0.10833333333333334
下。。。。。。通常都係佢地離。,under. . . . . . Usually they are separated from each other.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.1875
"離過一次, 男來, 今次要自已去..","Once away, the man came, this time I have to go by myself..","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
mpf 都係要上佢哋公司啦..,mpf is all going to the company..,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
得果幾丁...佢哋唔想來掛...,It must be chitin... Qu don’t want to hang...,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.0772}",0.0772,0.0
咁又係。。。你公司太少。。。,Yeah again. . . You have too few companies. . .,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.296}",0.29600000000000004,-0.2
女既正d.男既上次離請我地飲茶。,The woman is both d. The man left to invite me to drink tea last time.,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1531}",0.1531,0.0
只新野好似增加保證部分,Only Shinno seems to add a guaranteed part,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
我好窮QQ,I'm so poor QQ,"{'neg': 0.792, 'neu': 0.208, 'pos': 0.0, 'compound': -0.8227}",-0.8227,-0.4
就係連千幾蚊一年都冇,Even thousands of mosquitoes are not a year,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
講真佣金人地，保障係自己！,"Tell the truth commissions and land, and protect yourself!","{'neg': 0.0, 'neu': 0.574, 'pos': 0.426, 'compound': 0.636}",0.636,0.0
千零蚊又個槓桿，有事可以有幾佰倍嘅賠償。,"Thousands of mosquitoes are another lever, and they can be compensated hundreds of times in case of trouble.","{'neg': 0.137, 'neu': 0.863, 'pos': 0.0, 'compound': -0.4019}",-0.4019,-0.2
為自己、為屋企人諗下！,"For yourself, for the housing entrepreneurs!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
講得啱,Speak well,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.2732}",0.2732,0.0
有d保單無工開時可以暫停交保費，當然保障都會跟著停，唔知係咪真，,"You can suspend the payment of premiums when there is a d policy without work. Of course, the protection will also stop, I don’t know if it’s true,","{'neg': 0.139, 'neu': 0.774, 'pos': 0.087, 'compound': -0.1779}",-0.1779,0.35
你打上CS到問一問，佢地應該可以教你的點做係最好，好似話可以停一年。,"You hit CS to ask, Qudi should be able to teach you the best point system, as if you can stop for a year.","{'neg': 0.077, 'neu': 0.775, 'pos': 0.148, 'compound': 0.4588}",0.4588,0.75
打客服电话就可以,Just call customer service,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
你份保險咁平應該冇儲蓄， 唔交錢過左寛限期就會自動失效。,"If you have insurance, you should not save. If you don't pay the money, it will automatically expire after the deadline.","{'neg': 0.115, 'neu': 0.829, 'pos': 0.057, 'compound': -0.3252}",-0.3252,0.0
直接剷上去退,Shovel up and back,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
上年剛畢業,Just graduated last year,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
我有位好朋友去左做保險,I have a good friend to go to the left for insurance,"{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.7269}",0.7269,0.35
佢話差幾千蚊就有獎金,There are bonuses for thousands of mosquitoes,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.5574}",0.5574,0.0
睇在好朋友+做左幾年室友份上,Look at the good friend + being a roommate for a few years,"{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.7269}",0.7269,0.25
就幫佢買左份人情保,So I bought Qu Zuoqing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
最近收到AIA嘅繳費通知書,Recently received a payment notice from AIA,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
因為我位朋友已經辭左職,Because my friend has resigned,"{'neg': 0.244, 'neu': 0.366, 'pos': 0.39, 'compound': 0.296}",0.29600000000000004,0.0
所以已經冇理由要再比錢供,So there is no reason to compare the money,"{'neg': 0.235, 'neu': 0.765, 'pos': 0.0, 'compound': -0.3535}",-0.3535,0.0
所以想退保,So I want to surrender,"{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0.1477}",0.1477,0.0
"我搵返位朋友,佢話唔關佢事啦",I'm returning to my friend,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.4939}",0.4939,0.0
所以想問下要點退保,So I want to ask the main points to surrender,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.1477}",0.1477,0.16666666666666666
上AIA個網絡睇左好耐,Go to the AIA network to watch Zuo Hao Nai,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
都搵唔到網上退保功能,You can find the online surrender function,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
係咪打紅圈內的電話??,Is the microphone making a phone call in the red circle?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
如果要退保，可以打2232-8888，或者唔交錢都得,"If you want to surrender the policy, you can call 2232-8888, or don’t pay","{'neg': 0.095, 'neu': 0.816, 'pos': 0.088, 'compound': -0.0258}",-0.0258,0.0
不過$1400年，交多10年到就保終身，考慮下供埋去啦。,"However, for $1400, you will be guaranteed a lifetime for more than 10 years, and consider burying it.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.5
始終意外既野講唔埋，你睇早兩日果單交通意外,"Always be accidental, but don’t bury it, you can watch the traffic accident two days earlier","{'neg': 0.275, 'neu': 0.725, 'pos': 0.0, 'compound': -0.6486}",-0.6486,0.0
多謝回答,Thanks for answering,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,0.2
不過想問 唔交錢=自動退保???,But I want to ask. Don't pay money = surrender automatically???,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.3472}",0.3472,0.0
唔會有問題???,Is there a problem???,"{'neg': 0.519, 'neu': 0.481, 'pos': 0.0, 'compound': -0.5007}",-0.5007,0.0
付款寛限期過後，保單就會自動失效！,"After the payment deadline, the policy will automatically lapse!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
無問題,no problem,"{'neg': 0.0, 'neu': 0.307, 'pos': 0.693, 'compound': 0.3089}",0.3089,0.0
你嗰朋友都幾不負責任喎。,Your friends are almost irresponsible.,"{'neg': 0.299, 'neu': 0.345, 'pos': 0.356, 'compound': 0.1263}",0.1263,0.0
直接吾交就得~,I just have to make a deal~,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
年交1400又吾好想到天甘大，保障始終係自己，出左事就後悔啦,"In the annual exchange of 1400, I really think of Tian Ganda, and I always guarantee myself. I regret it if something goes wrong.","{'neg': 0.204, 'neu': 0.727, 'pos': 0.069, 'compound': -0.5994}",-0.5994,-0.15
人情保，新的保障範圍,"Human security, new coverage","{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.34}",0.34,0.06818181818181818
中意呢個名,What's your favorite name,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}",0.4588,0.5
唔交錢就自動退,Don't pay the money,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.0762}",0.0762,0.0
大把呢D人,A lot of people D,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
"反正當幫下朋友(雖然我買左,但當年最後佢都唔夠數領獎金)","Anyway, I should help my friends (although I bought the left, but at the end of the year, they were not enough to receive bonuses)","{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.8316}",0.8316,0.0
咁你咪當俾咗錢去睇清呢個人囉！,Why don’t you pay the money to see you?,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.1027}",-0.1027,0.0
獎金500嗎？,Is the bonus 500?,"{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.5423}",0.5423,0.0
如果獎金超過1萬，無奶由欠幾千會做吾到,"If the bonus exceeds 10,000, no milk will owe thousands to you","{'neg': 0.14, 'neu': 0.637, 'pos': 0.223, 'compound': 0.3182}",0.3182,0.0
唔太清楚,Not too clear,"{'neg': 0.522, 'neu': 0.478, 'pos': 0.0, 'compound': -0.2924}",-0.2924,0.10000000000000002
冇問佢,No question,"{'neg': 0.688, 'neu': 0.312, 'pos': 0.0, 'compound': -0.296}",-0.29600000000000004,0.0
講真、千幾蚊一年？平到唔知講乜好，買埋啦,"Tell the truth, how many mosquitoes a year? I don’t know what to say, buy it","{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.3182}",0.3182,0.5
上年剛畢業,Just graduated last year,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
我有位好朋友去左做保險,I have a good friend to go to the left for insurance,"{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.7269}",0.7269,0.35
佢話差幾千蚊就有獎金,There are bonuses for thousands of mosquitoes,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.5574}",0.5574,0.0
睇在好朋友+做左幾年室友份上,Look at the good friend + being a roommate for a few years,"{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.7269}",0.7269,0.25
就幫佢買左份人情保,So I bought Qu Zuoqing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
最近收到AIA嘅繳費通知書,Recently received a payment notice from AIA,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
因為我位朋友已經辭左職,Because my friend has resigned,"{'neg': 0.244, 'neu': 0.366, 'pos': 0.39, 'compound': 0.296}",0.29600000000000004,0.0
所以已經冇理由要再比錢供,So there is no reason to compare the money,"{'neg': 0.235, 'neu': 0.765, 'pos': 0.0, 'compound': -0.3535}",-0.3535,0.0
所以想退保,So I want to surrender,"{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0.1477}",0.1477,0.0
"我搵返位朋友,佢話唔關佢事啦",I'm returning to my friend,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.4939}",0.4939,0.0
所以想問下要點退保,So I want to ask the main points to surrender,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.1477}",0.1477,0.16666666666666666
上AIA個網絡睇左好耐,Go to the AIA network to watch Zuo Hao Nai,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
都搵唔到網上退保功能,You can find the online surrender function,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
係咪打紅圈內的電話??,Is the microphone making a phone call in the red circle?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
如果要退保，可以打2232-8888，或者唔交錢都得,"If you want to surrender the policy, you can call 2232-8888, or don’t pay","{'neg': 0.095, 'neu': 0.816, 'pos': 0.088, 'compound': -0.0258}",-0.0258,0.0
不過$1400年，交多10年到就保終身，考慮下供埋去啦。,"However, for $1400, you will be guaranteed a lifetime for more than 10 years, and consider burying it.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.5
始終意外既野講唔埋，你睇早兩日果單交通意外,"Always be accidental, but don’t bury it, you can watch the traffic accident two days earlier","{'neg': 0.275, 'neu': 0.725, 'pos': 0.0, 'compound': -0.6486}",-0.6486,0.0
多謝回答,Thanks for answering,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,0.2
不過想問 唔交錢=自動退保???,But I want to ask. Don't pay money = surrender automatically???,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.3472}",0.3472,0.0
唔會有問題???,Is there a problem???,"{'neg': 0.519, 'neu': 0.481, 'pos': 0.0, 'compound': -0.5007}",-0.5007,0.0
付款寛限期過後，保單就會自動失效！,"After the payment deadline, the policy will automatically lapse!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
無問題,no problem,"{'neg': 0.0, 'neu': 0.307, 'pos': 0.693, 'compound': 0.3089}",0.3089,0.0
你嗰朋友都幾不負責任喎。,Your friends are almost irresponsible.,"{'neg': 0.299, 'neu': 0.345, 'pos': 0.356, 'compound': 0.1263}",0.1263,0.0
直接吾交就得~,I just have to make a deal~,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
年交1400又吾好想到天甘大，保障始終係自己，出左事就後悔啦,"In the annual exchange of 1400, I really think of Tian Ganda, and I always guarantee myself. I regret it if something goes wrong.","{'neg': 0.204, 'neu': 0.727, 'pos': 0.069, 'compound': -0.5994}",-0.5994,-0.15
人情保，新的保障範圍,"Human security, new coverage","{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.34}",0.34,0.06818181818181818
中意呢個名,What's your favorite name,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}",0.4588,0.5
唔交錢就自動退,Don't pay the money,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.0762}",0.0762,0.0
大把呢D人,A lot of people D,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
"反正當幫下朋友(雖然我買左,但當年最後佢都唔夠數領獎金)","Anyway, I should help my friends (although I bought the left, but at the end of the year, they were not enough to receive bonuses)","{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.8316}",0.8316,0.0
咁你咪當俾咗錢去睇清呢個人囉！,Why don’t you pay the money to see you?,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.1027}",-0.1027,0.0
獎金500嗎？,Is the bonus 500?,"{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.5423}",0.5423,0.0
如果獎金超過1萬，無奶由欠幾千會做吾到,"If the bonus exceeds 10,000, no milk will owe thousands to you","{'neg': 0.14, 'neu': 0.637, 'pos': 0.223, 'compound': 0.3182}",0.3182,0.0
唔太清楚,Not too clear,"{'neg': 0.522, 'neu': 0.478, 'pos': 0.0, 'compound': -0.2924}",-0.2924,0.10000000000000002
冇問佢,No question,"{'neg': 0.688, 'neu': 0.312, 'pos': 0.0, 'compound': -0.296}",-0.29600000000000004,0.0
講真、千幾蚊一年？平到唔知講乜好，買埋啦,"Tell the truth, how many mosquitoes a year? I don’t know what to say, buy it","{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.3182}",0.3182,0.5
Prudential 的財務狀況 healthy ma?,Prudential's financial status healthy ma?,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}",0.4019,0.25
是不是可靠???? 聽說是較保守的...,Is it reliable???? I heard that it is more conservative...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.5
因為快要決定了...所以希望有個知字,Because it's about to be decided... so I hope there is a knowing word,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.4902}",0.4902,0.0
唔知你係決定買佢地ge產品丫？定還是入行呢？,Don't know if you decided to buy Qudi products? Are you still going into business?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
月中既時候goldman sachs話佢流動現金不足，一個星期之後prudential公布第3季業績，整體上升左15%左右,"At the time of the month, the goldman sachs talked about the lack of cash flow. A week later, prudential announced the third quarter results, which rose by about 15%","{'neg': 0.073, 'neu': 0.927, 'pos': 0.0, 'compound': -0.3182}",-0.3182,0.2
應該冇問題.,No problem.,"{'neg': 0.0, 'neu': 0.307, 'pos': 0.693, 'compound': 0.3089}",0.3089,0.0
我都想知 ??,I want to know ??,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.168}",0.168,0.0
中肯d 講...資產值又唔代表d 咩既~~~,Pertinent d talk about...the asset value does not represent d~~~~,"{'neg': 0.0, 'neu': 0.62, 'pos': 0.38, 'compound': 0.5994}",0.5994,0.0
人地aig 過萬億資產都一樣會有問題~~,People aig over trillions of assets are all the same~~,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.1779}",0.1779,0.0
剛出左第3季業績....可以參考一下呢,Just out of the third quarter results from the left...you can refer to it,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
就咁睇都唔錯~~,It's all wrong~~,"{'neg': 0.608, 'neu': 0.392, 'pos': 0.0, 'compound': -0.4767}",-0.4767,-0.5
同 ml 差唔多~市場上算係穩健丫~,There is not much difference in the same ml~ It is stable on the market~,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.296}",0.29600000000000004,-0.05
認為師兄考慮得過,I think Brother has considered it,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
is it ok??,is it ok??,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.5
"compare wif manulife, protential""""","compare wifi manulife, potential""""","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
which one is better,which one is better,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,0.5
你問乜呀?,What are you asking?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
想買保險定搵工呀? 唔湯唔水!,"Want to buy insurance and get a job? Well, no water!","{'neg': 0.158, 'neu': 0.576, 'pos': 0.266, 'compound': 0.126}",0.126,0.0
做乜都唔惦啦!,Don't do anything at all!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
講得好！,Good talk!,"{'neg': 0.0, 'neu': 0.239, 'pos': 0.761, 'compound': 0.4926}",0.4926,0.875
你講咩先得架？！,What are you talking about first? !,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.3125
買保險，做corporate staff，做agent都好唔同架喎同埋係Prudential,"Buying insurance, being a corporate staff, and being an agent are not the same.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
個agent貼錢打工,Agents pay money to work,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.1027}",-0.1027,0.0
咁攪法之後肯定有爭拗，攪到個客話agent呃佢…,"After the disturbing method, there must be some controversy, and there is a guest agent...","{'neg': 0.191, 'neu': 0.809, 'pos': 0.0, 'compound': -0.5106}",-0.5106,-0.5
都聽過好多客話佢地agent sell的時候講到天下無敵，賣基金就話包你賺個double(最後係點唔使講啦)，甚至將個客原先一張單做到的野拆開4、5張做，客就以為一定要分開買，去到review時先知咁買係貴左…,"I’ve heard a lot of talk about agent sales when talking about the invincible world. Selling a fund will make you a double (the last point is not to talk about it), and even dismantle the original field of a single customer. 4, 5 pictures, the customer thought that they must buy separately, when the review goes to the prophet, it is expensive to buy...","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.6705}",0.6705,-0.03928571428571428
好多行家唔識投資走去亂賣。。。癡線。。。。,A lot of experts don't know how to invest to sell. . . Idiot. . . .,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.5106}",-0.5106,-0.8
所以保監洗太平地，係好事。,"Therefore, it is a good thing for the insurance supervisor to wash the peace.","{'neg': 0.0, 'neu': 0.652, 'pos': 0.348, 'compound': 0.7506}",0.7506,0.7
提高返呢行既形象,Improve the image of the line,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.4404,0.0
我覺得係提升唔到的.,I don't think it can be promoted.,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4215}",0.4215,0.0
"本身做得好的, 一樣會依然做得好.","Well done by itself, the same will still be done well.","{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4939}",0.4939,0.0
"COI 針對的, 主要係個 Plan.","COI is aimed at, mainly a Plan.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.16666666666666666
但實際上客戶面對的係Agent 不誠實.,"But in fact, the client is facing dishonesty.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
