review,Eng,label,vader_score,vader_compound,textblob_score
"一般是一個最好的  這篇評論混凝料多航班多年來使用CX。 這是我第一次選擇的航空公司。 我覺得他們有些比在空氣比修業期（票務,官僚作風,費用）但是總的來說他們瞭解他們的系統,食物很好,員工都很友好而且令人愉快,而且他們通常得到的要去哪。  如果我要抱怨的是經常娛樂系統劃分,要麼在個別通道或整個事情； 並且可以弄清楚如何使用起來卻有些繁瑣。 這是一個小抱怨的全盤計劃中。 國泰的網絡（尤其是如果一個包括什麼叫做港龍航空）的種類很豐富。 不過馬可波羅常客計劃似乎越來越多的和更具限制性的,並且沒關係我飛到一年多少次。 我失去了所有的休息室。","This is generally one of the best in this review. Aggregate flights have used CX for many years. This is my first airline choice. I think they are a little bit better than in the air period (ticketing, bureaucracy, expenses) but overall they understand their system, the food is good, the staff are friendly and pleasant, and they usually get where to go . If I have to complain about the frequent division of entertainment systems, either in individual channels or the whole thing; and it can be quite tedious to figure out how to use them. This is a small complaint in the overall plan. Cathay Pacific's network (especially if one includes what is called Dragonair) is very diverse. But the Marco Polo frequent flyer program seems to be more and more restrictive, and it doesn't matter how many times I fly to a year. I lost all the lounges.",1,"{'neg': 0.059, 'neu': 0.821, 'pos': 0.121, 'compound': 0.9118}",0.9118,0.22083333333333333
再自己打電話跟信用卡中心確實,And call the credit card center yourself,1,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.3818}",0.3818,-0.1
還不錯的飛行體驗  這次行程是因為亞洲萬里通亂改航班而生的 反魚骨配置增加了舒適感，令之前帶來的抑鬱感減少不少 餐點一般，而且因疫情關係，也不能太盡興去享受 但一個旅程有一個好的開始,"Good flight experience. The itinerary is due to the anti-fish bone configuration caused by the turbulent flight change in Asia, which increases the comfort, reduces the depression caused by the previous meals, and is not too enjoyable due to the epidemic situation. To enjoy but a good start to a journey",1,"{'neg': 0.069, 'neu': 0.767, 'pos': 0.164, 'compound': 0.6805}",0.6805,0.26904761904761904
房間不好,Bad room,1,"{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}",-0.5423,-0.6999999999999998
"很棒如果你從來沒有去過   我來這裏是爲了在2015和喜歡它！ 我還是很喜歡它2017和回來的時候,因爲一些事情已經改變了'中更改的,但大部分都是一樣的。 還有就是有太多東西要看你錯過了一半的第一次。 不錯的地方但是禮物！","It's great if you've never been there. I came here to love it in 2015! I still like it in 2017 and when I came back, because some things have changed', but most of them are the same. There is too much to see for the first time you missed half. Nice place but present!",1,"{'neg': 0.044, 'neu': 0.781, 'pos': 0.175, 'compound': 0.8118}",0.8118,0.2808333333333334
主要来toys city，穿过而已，大部分店家开门是10点  属于买奢侈品的地方，感觉在里面很容易迷路，但是基本上你很容易发现服务台，里面会有说中文的帮你，还是很nice的。很多人来逛。,"I mainly come to toys city, just go through it. Most shops open their doors at 10 o'clock. It is a place to buy luxury goods. It feels easy to get lost inside, but basically you can easily find the help desk. There will be Chinese speaking help, Very nice. Many people come to visit.",1,"{'neg': 0.025, 'neu': 0.732, 'pos': 0.243, 'compound': 0.9397}",0.9397,0.3516666666666667
"哇... 我能说什么？  从开始到结束这正是他们答应了它在宣传册上。 你就可以看到如家酒店的服务更好的迪拜的酒店和这里的食物很精致的。 意大利餐厅的特别的地方可能就不会在伦敦美景。 这真是一个绝妙的用餐体验。  的活动都很棒,选择很完美和为孩子准备的儿童俱乐部,他们只用了一度,都是无可挑剔的。 如果我一定要抱怨的就是一个水上运动都是由一个私人公司也很贵。 除此之外真的是超级全包套餐。 没有什么太多的要求,他们竭尽全力来满足我们的每一个奇思妙想。 这不是一个便宜的假期但是我们感觉物有所值。 我猜它会看到一个巨大的价格提高了在下一个季节！","Wow... what can I say? From start to finish this is exactly what they promised it on the brochure. You can see the hotels in Dubai with better service and the food here is exquisite. The special place of the Italian restaurant may not have great views in London. This is really a wonderful dining experience. The activities are great, the selection is perfect and the kids club for kids, they only used it once and they are impeccable. If I have to complain, a water sport is expensive by a private company. In addition, it is really a super all-inclusive package. There is not much demand, they do their best to satisfy every whimsy of us. This is not a cheap holiday but we feel value for money. I guess it will see a huge price increase in the next season!",1,"{'neg': 0.034, 'neu': 0.771, 'pos': 0.195, 'compound': 0.9686}",0.9686,0.3745238095238096
"空姐超級貼心!  這次的家族旅遊,帶有未滿2歲的小孩,因自知小孩的身高及體重已超標,就未提出掛籃需求.但是空姐看到小孩已入睡,主動幫忙安裝掛籃,為使孩子能更舒適的搭乘. 整個航程中,空服員的態度也都很周全及貼心.另外加分的是餐點好好吃!","The flight attendant is super caring! This family tour, with children under 2 years old, did not make a request for a hanging basket because he knew that the child's height and weight had exceeded the standard. However, the flight attendant saw that the child had fallen asleep and took the initiative to help install the hanging basket. In order to allow children to ride more comfortably. The flight attendants' attitudes are also very thorough and intimate throughout the voyage. Another plus point is that the meals are delicious!",1,"{'neg': 0.024, 'neu': 0.792, 'pos': 0.184, 'compound': 0.9483}",0.9483,0.3216666666666667
"在每個方面都非常棒  極致奢華！  哇！ 真的不是有足夠的最高級來向這家酒店的經歷是多麼迷人的讀者！ 我們在機場受到了酒店代表拿了行李後立即給我們提供了水的旅程和我們的出租車司機不等  每個家庭都有自己的奔馳車在旅行中！ 登記入住是一個很小的令人愉快的體驗和一杯迎賓香檳和冷毛巾。 我們的房間很棒有成對的單人牀以及你想要的一切  每天補充的迷你吧,咖啡機,浴袍,拖鞋,吹風機,豪華的衛浴用品  智能電視和dvd播放機  甚至還有一組可擴展到確認... 是的... 我把我們的10磅上在7晚住宿！ 這裏的食物真的很美味  這種對細節的關注和監督米其林廚師的一切都準備好了。 我是過敏的和我在到酒店之前就通知  每個餐廳都毫無例外地告訴（不知情的情況下）所以我不要強調它的  我只知道我看見它的牀單上寫的其中一家餐廳預訂  這是一流的服務就像我在任何其他酒店從來沒有遇到過！ 美味的雞尾酒和飲料都是高品質的品牌！ 我們不是最廣泛的葡萄酒清單和不能真的因爲我知道了一些關於葡萄酒的建議  但它其實是在和豐富的應該提供你希望！ 似乎每個餐廳都有一個不同的葡萄酒可供選擇。 所有的餐廳供應美味的食物都是新鮮準備的&顯示對細節的關注以及品嚐美味看起來讓人胃口大開！ 自助餐廳的口味甚至是我見過的最不像其他的自助  這就像是我們在天堂裏去睡覺和醒來！ 他們甚至還有泥乾酪蛋糕模與食物的嬰兒！ 沒有在這裏胡亂猜測  所有的食物都在一個元件列表和自助餐廳的菜單具有相同的。 最大限度地利用所提供的各種餐館希臘,法國和自助餐廳是開放的早餐和午餐還有晚餐毫無保留地  並且每個人都提供了不同的經驗以及客房服務的早餐和午餐都在陽臺上！ 他們有很多泳池  所有都是加熱和都很棒。 無論您是在海灘或泳池邊給你送上飲料帶着微笑和如此專業","It’s great in every way. Extreme luxury! Wow! There really isn't enough superlatives to come to this charming reader of the experience of this hotel! We received the hotel representative at the airport after taking the luggage and immediately provided us with a water journey and our taxi driver did not wait. Every family has their own Mercedes-Benz on the trip! Checking in was a small pleasant experience and a welcome glass of champagne and cold towels. Our room is great. There are twin beds and everything you want, a minibar that is replenished daily, a coffee machine, bathrobes, slippers, a hairdryer, luxury bathroom products, a smart TV and a DVD player, and even a set of expandable To confirm... Yes... I put our 10 pounds on a 7 night stay! The food here is really delicious. This attention to detail and supervision of the Michelin chef are all ready. I am allergic and I informed every restaurant before arriving at the hotel without exception (without knowledge) so I don’t emphasize it. I only know that I saw one of the restaurant reservations written on the sheets This is a first class service like I have never encountered in any other hotel! Delicious cocktails and drinks are high-quality brands! We are not the most extensive wine list and can't really because I know some suggestions about wine but it is actually in and rich and should provide you hope! It seems that every restaurant has a different wine to choose from. All the restaurants serving delicious food are freshly prepared & show attention to detail and taste delicious looks appetizing! The taste of the cafeteria is even the least like the other buffets I've ever seen. It's like we went to bed and woke up in heaven! They even have babies with mud cheese cake molds and food! There is no random guessing here. All the food is in a component list and the cafeteria menu has the same. Maximize the use of the various restaurants offered Greek, French and buffet restaurants are open for breakfast and lunch and dinner without reservation and everyone provides different experiences and room service for breakfast and lunch on the balcony! They have many swimming pools, all are heated and are great. Whether you are giving you a drink with a smile and so professional on the beach or by the pool",1,"{'neg': 0.016, 'neu': 0.825, 'pos': 0.159, 'compound': 0.996}",0.996,0.2764792375283447
"如果你要去亞洲...  當國泰航空公司宣佈我是在去年bos的香港航班首航班機的。 大約是因爲我喝了6次。 你不能得到任何更快的去香港的飛機上比cx或與任何更舒適。   航班離開這裏在凌晨 1時45分（還不錯,這是一個太小的）但是你5上午到達的第二天。 我覺得我不會丟失任何時間因爲我還有一整天的時間在我前面。  旁邊就是國泰的服務無可挑剔。 總是有人向你確認檢查周圍的一切都是按照你想要的方式。 轉換爲一個完整的座位平躺牀足夠長的時間對我來說就足夠了。 （6' 4）。 這裏的食物很不錯而且總是有一個很好的選擇。 我強烈推薦漢堡還有他們的一點小吃了大部分的航班。 真的很好吃。","If you are going to Asia... When Cathay Pacific announced that I was on the first flight of the Hong Kong flight last year. It's probably because I drank 6 times. You can't get any faster to fly to Hong Kong than CX or more comfortable with anything. The flight departs here at 1:45 am (not bad, this is too small) but the day after you arrive at 5 am. I don't think I will lose any time because I still have a full day in front of me. Next to it is the impeccable service of Cathay Pacific. Someone always confirms to you that everything around you is in the way you want. Converting to a full seat flat bed for long enough is enough for me. (6' 4). The food here is very good and there is always a good choice. I highly recommend the burgers and their snacks on most flights. really tasty.",1,"{'neg': 0.021, 'neu': 0.876, 'pos': 0.103, 'compound': 0.9178}",0.9178,0.2947500000000001
"我們住過的最好的經歷。 服務很棒  我們不得不去售票處因爲我妻子有一個便攜式的氧氣集中器。 他們對待我們的態度真的很不錯。 經理出來了就跟我到我妻子伊莎貝爾的紙張完成更多的工作。 他安排她去了有一個輪椅走向還會再來的。 當我們上了飛機,他們讓她和他們總是檢查她的氧氣可用。 他們對待我們的態度真的很好。 航班真的很舒服。 它不像是一個很長時間的飛機從洛杉磯到香港。 我不能說我們的經歷。 我從來沒想過會是很好的待遇。 我們和他們一起環島旅行。","The best experience we have ever had. The service was great. We had to go to the ticket office because my wife had a portable oxygen concentrator. Their attitude towards us is really good. The manager came out and followed me to my wife Isabel’s paper to do more work. He arranged for her to go to a wheelchair and will come again. When we got on the plane, they let her and they always checked her oxygen availability. Their attitude towards us is really good. The flight was really comfortable. It's not like a long flight from Los Angeles to Hong Kong. I cannot say about our experience. I never thought it would be good treatment. We traveled around the island with them.",1,"{'neg': 0.015, 'neu': 0.834, 'pos': 0.151, 'compound': 0.9641}",0.9641,0.5937500000000001
"有質感的飯店,細節裡充滿著藝術~","Textured hotel, full of art in the details~",1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.35
"偉大的討價還價  女人街是一開始很難找到因爲禮賓沒有給我們明確的路綫。 不過我們發現這裏一度； 這是一次很棒的經歷。 你得跟他們討價還價很有點不然他們會敲你竹槓的。 有一個很大的包,手錶,紀念品等。 你可以從那裏。 他們也賣男士的東西也喜歡手錶,皮帶和運動襯衫。","Great bargaining Ladies Street was difficult to find at the beginning because the concierge did not give us a clear route. But we found it once; it was a great experience. You have to bargain with them a little bit or they will knock you off. There is a big bag, watches, souvenirs, etc. You can go from there. They also sell men's things like watches, belts and sports shirts.",1,"{'neg': 0.022, 'neu': 0.796, 'pos': 0.182, 'compound': 0.9169}",0.9169,0.16875000000000004
很類似台灣的夜市  如何抵達：從港鐵油麻地站C出口，沿文明里步行至廟街，約3分鐘。販賣的商品種類極多，也有很多店販售港版的模型，附近有餐廳可以用餐，晚上閒來無事可以去逛逛，買些小東西、紀念品。,"It is very similar to Taiwan’s night market. How to get there: From Exit C of MTR Yau Ma Tei Station, walk along Wenmingli to Temple Street, about 3 minutes. There are many types of goods sold, and there are also many shops selling Hong Kong versions of the model. There are restaurants nearby to dine. In the evening, if you have nothing to do, you can go shopping and buy small things and souvenirs.",1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.1875
"有趣的夜晚  垃圾和員工比比皆是  女人街附近的是爲我們的酒店和我們的公寓通過  我自己。 我的妻子和兩個女性朋友。 此市場可以很有趣如果您期望不要太高。 它是擁擠和嘈雜和夜間市場主要。 您在此處是安全的, 但我扒手確保不存在。  因街的商品。 有一個電子產品街, 兒童街, 街上的“垃圾”, 等等。 這裏有很多假冒品牌項目名稱。 我的妻子買了一個幾個絲綢的圍巾價格好的但如果我要準備好。 離開它可以幫助。","Fun nights, trash and employees abound, near Ladies Street is for our hotel and our apartment to pass by myself. My wife and two female friends. This market can be interesting if your expectations are not too high. It is crowded and noisy and the main market at night. You are safe here, but my pickpocket makes sure it doesn't exist. Due to street goods. There is an electronic product street, children's street, ""garbage"" on the street, etc. There are many fake brand project names. My wife bought a few silk scarves at a good price but if I were to be ready. Leaving it can help.",1,"{'neg': 0.044, 'neu': 0.782, 'pos': 0.174, 'compound': 0.9337}",0.9337,0.2001190476190476
"這是運動鞋的地方  忘了還有購物商場和特色商店。 這個地方你可以找到許多不同種類的運動鞋,你想要的任何品牌名稱可以讓他們在這裏便宜！ 我發現了一雙新的平衡爲HK$399。 不可以這麼做除了運動鞋美街。 這個地方很擁擠的週末,但是這是一個很好的經驗。","This is the place for sneakers. Forget about shopping malls and specialty shops. You can find many different kinds of sneakers in this place, any brand name you want can make them cheap here! I found a new balance of HK$399. You can't do this except sports shoes. This place is crowded on weekends, but this is a good experience.",1,"{'neg': 0.023, 'neu': 0.894, 'pos': 0.083, 'compound': 0.5916}",0.5916,0.3672727272727273
熱鬧、價格實惠  多部電影的拍攝地，售賣各類男性用品，馬路旁大排檔眾多，是個美食熱門地，超多吃的，強烈建議買當地水果！！！牛奶草莓很便宜,"Lively and affordable Many filming locations, selling all kinds of men’s supplies, and many stalls by the road, is a popular place for food, super eating, it is strongly recommended to buy local fruits! ! ! Milk strawberry is very cheap",1,"{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.9243}",0.9243,0.3778787878787879
好玩  特意去海港城看大黃鴨，人可真是多啊，圍在欄杆旁照相，我們也擠進去拍了幾張趕緊撤。海港城裡各種大牌名牌，純粹去逛逛，小朋友最喜歡玩具反斗城，琳琅滿目的玩具，連大人看了都忍不住要玩。海港城裡空調很冷，要帶長袖衣。,"It's fun. I went to Harbour City to see the big yellow duck. There are so many people. We took pictures by the railing. We squeezed in and took a few photos to quickly withdraw. All kinds of big-name famous brands in the harbor city are purely to go shopping. Children's favorite toys are R Us. The dazzling array of toys, even adults can't help but want to play. The air conditioning in the harbor city is very cold, so wear long sleeves.",1,"{'neg': 0.034, 'neu': 0.884, 'pos': 0.082, 'compound': 0.6472}",0.6472,0.17230158730158732
魚骨型座位很舒適，飛機餐非常普通  這次搭乘商務艙，魚骨型的座位很舒適，若是長途旅行，可以平躺更是享受，電視與遙控器都很新穎，空服員也很親切，不過機上餐食方面很普通，味道不怎麼樣，建議出發前在貴賓室享用比較能滿足到。,"The fish-bone seat is very comfortable, the flight meal is very common. This time I take the business class, the fish-bone seat is very comfortable, if you are traveling for a long distance, you can lie flat and enjoy it, the TV and the remote control are very new, and the flight attendants are also very friendly. However, the meals on board are very common and the taste is not very good. It is recommended to enjoy it in the VIP room before departure.",1,"{'neg': 0.026, 'neu': 0.749, 'pos': 0.226, 'compound': 0.9652}",0.9652,0.10671182983682984
買買買  如果你是準備大買特買並且不怎麼介意價格的話，來這邊還是非常適合的。品牌無敵齊全從高端到中端到低端都有，但是真心不便宜。  如果你想找折扣或者淘一些便宜的東西還是去其他商城比較划算,"Buy, buy, buy If you are planning to buy a big deal and don't mind the price, it is still very suitable for you. The brand is invincible and complete, from high-end to mid-end to low-end, but it is not cheap. If you want to find discounts or buy some cheap things, it is more cost-effective to go to other malls",1,"{'neg': 0.0, 'neu': 0.943, 'pos': 0.057, 'compound': 0.3716}",0.3716,0.1985714285714286
舒適特選經濟艙  第一次坐A350特選經濟艙 還有迎賓香檳 空間很濶 準時起飛準時到達 12小時機程很舒適 晚餐和早餐也很好 中間還吃了杯麵 空中服務員很友善,Comfortable Economy Class for the first time in A350 Economy Class for the first time and welcome champagne. Space is very good. Departure on time. Arrival on time. 12-hour flight is very comfortable. Dinner and breakfast are also very good.,1,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.9551}",0.9551,0.5771428571428572
"座位舒適,髚班時間佳  座位空間舒適,視聽設備佳,另外有飛機下方與後方攝影機可全程觀看,讓不看影片的老人和小孩一同參與飛行十分開心","Comfortable seats and good shift time Seat space is comfortable, audio-visual equipment is good, and there are cameras under the aircraft and rear cameras to watch the whole journey, so that the elderly and children who are not watching the video are very happy to participate in the flight together",1,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.9468}",0.9468,0.5666666666666668
空服員很細心  這是我第一次做國泰 印象很不錯 帶著一歲多的女兒一起 原本座位是和一位先生坐兩個的位置 後來空服員看狀問我要不要去坐原本是留給組員的位置  後來就跟女兒坐四人的位置 女兒睡覺也睡的舒服 真的是很感謝。 轉機時也有空服員帶領直接到另一個登機口 不要一直找 或是怕走錯登機門 很貼心,"The flight attendant was very attentive. This was my first time doing Cathay. I had a good impression. I took my one-year-old daughter. The original seat was two places with a gentleman. Later, the flight attendant asked me if I wanted to sit. The position reserved for the team members would later sit with the daughter in a four-person position. The daughter slept comfortably. I really appreciate it. During flight transfer, there is also a flight attendant who leads directly to another boarding gate. Don’t look for it all the time, or be afraid of going to the wrong boarding gate.",1,"{'neg': 0.028, 'neu': 0.856, 'pos': 0.116, 'compound': 0.8313}",0.8313,0.12653846153846154
服務、整潔、質感有水準搭乘體驗十分舒服  第一次搭乘國泰航空，本來抱持的觀察的態度，但從休息室開始到上飛機，一切都讓人感到很舒適，的確是家優質的航空公司，會令人期待下次旅行,"The service, cleanliness, quality and quality of the ride experience are very comfortable. The first time I took Cathay Pacific, I had the attitude of observation, but from the lounge to the plane, everything feels very comfortable. It is indeed a quality airline. And will look forward to the next trip",1,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.8012}",0.8012,0.3225
"很喜歡這裏  一定要記得砍價！   我的妻子和兩個兒子（7和3）去了兩次香港和廟街夜市的時候真的很喜歡它。 它讓我想起了在曼谷帕蓬夜市的但是在一個更大的規模。   許多店鋪賣同樣的商品我猜  小飾品, t  襯衫,佛像,手機配件等。 所以買家,你有很多的選擇和電源充電傻錢店大約如果任何供應商都是他們的東西。 我的建議是一開始總是討價還價因爲他們貴得離譜但是如果你不急着去買,特別是當你知道其他攤位賣的都是相同的東西,得到一個圖你腦袋裏讓你願意花多少錢,玩球和  如果需要的話  因爲走的廠商往往會給追着說還可以接受以前的提供他們就拒絕了。","I really like it here, remember to bargain! My wife and two sons (7 and 3) really liked it when they went to Hong Kong and Temple Street Night Market twice. It reminds me of the Patpong Night Market in Bangkok but on a larger scale. Many shops sell the same goods, I guess small accessories, t shirts, Buddha statues, mobile phone accessories, etc. So buyers, you have a lot of choices and power charging silly money stores about if any supplier is their stuff. My suggestion is to always bargain because they are ridiculously expensive, but if you are not in a hurry to buy, especially when you know that other stalls are selling the same thing, get a picture of how much money in your head you are willing to spend , Playing ball and if necessary, because the walking manufacturers tend to chase and say that they can accept the previous offer, they refused.",1,"{'neg': 0.035, 'neu': 0.878, 'pos': 0.087, 'compound': 0.6893}",0.6893,0.017222222222222233
