review,label
"很棒的酒店有很多哇因素  一個很棒的酒店  那些已經預訂了到這個酒店不會失望的,從我們到達那刻到我們離開的那一刻起  那些想要預訂  什麼是停止你... 開始公共設施,接待區很漂亮很明亮而且給人第一好印象的酒店,游泳池很棒極了,看起來像是孩子們喜歡的瀉湖風格的泳池時光更加這番話  有服務生游泳池周圍的服務也很好。 服務像你期望的那樣很友好,他們不能爲你做的及時並且很簡單（這是整個度假村的情況!） 有很多太陽躺椅的海灘非常適閤家庭（有一個質量超讚）,喝的種類豐富的包含在內的水上運動  再次海灘服務員的服務和提供的服務在同一樓層高的泳池。 餐廳  哇！ 米其林經核可一開始菜單  你很難找到這些在歐洲一個全包式酒店。 所有的餐廳,從法國,亞洲,意大利,希臘的國際自助餐提供一些最好的食物是我吃過的,除了餐廳的食物都很棒的沙灘風景或度假村。 把孩子到兒童俱樂部幾個早晨和他們喜歡這家  兒童俱樂部裏面還是外面都是我見過最好再有很棒的歐洲和級別的人員。 晚上的娛樂活動也很是不缺少戲院業  顯示的是一個很高的質量標準。 最後的房間  我們住在有兩間臥室的家庭套房提供了大量的空間  房間裏對於細節的關注是首屈一指的。 戶外露臺是足夠大而且帶有兩個日光浴牀,非常舒服的椅子和一張沙發是一處理想的地方開始的結束一天的行程。 加上度假村提供了一個裝滿東西的迷你酒吧  每天都會更換！  總之這家酒店很棒我會把它推薦給家庭和度假村,情侶,一大羣朋友住宿  每一個人。 酒店的度假村纔開業可能已提供非常高的標準和我們已經等不及明年再來！ 一個必須！",1
"在歐洲最好的全包  我們剛從一個2周的假期與我們的3歲10個月ikos olivia和舊。 總的來說酒店的一切都和我讀了所有的評論  我們通常不會預定全套服務但是我們原本打算假期還有一個大家庭。   議事廳前幾年住過我們情不自禁的度假村和我感覺比較標準的服務和酒店的質量水準。 我們預訂了一個一張牀的別墅套房和我到的時候發現我們被升級到了豪華的一間臥室的別墅有私人泳池！ 這家酒店沒有通知我們在登記入住的時候我們很高興可以這麼說只是輕描淡寫！   正如你期待的神話般的房間裝修的很好而且有你需要的一切。 通過客房服務真的是和非常友好的。 迷你吧儲備和我們經常使用客房服務也可能大部分時間都在吃晚飯的時間了我們的孩子  真是棒極了可以直接到你的房間在用餐時間嬰兒濃湯！   我們使用了酒店的劉cr ,全球兒童俱樂部服務預訂的時候我們的假期是一個很大的動搖！ 像往常一樣出色的服務和可愛的員工  我們的兩個兒子很喜歡每天早晨都會參加。   我們過了一個多雲的日子很不尋常的七月我們用了酒店的溫泉浴場和健身房設施都很棒,健身房很小但是有你所需要的大部分東西。 我們預定了一個夫妻按摩和我們的理療師都留下了非常深刻的他給我們提供了一個很棒的住宿體驗。   我們使用了酒店的泳池和海灘幾天但還使用了我們自己的每一天。 所有的一切都有很舒服的躺椅和很棒的服務。 我覺得這裏的豪華泳池是最好的因爲它是一個涼爽的氣氛更多要安靜得多。   去之前我讀了一些評論的人抱怨孩子的度假村,度假村的目的是特別適合那些帶着小孩子的家庭  有很多隻供成人使用的區域,但是如果有人不想周圍總有孩子我會建議你住在一個市場上的大人avaibable酒店！   食物和飲料ikos標準很高,我們最喜歡的餐廳是普羅旺斯,接着是茴香,福斯科和安納亞。 我們的印象真的很深刻的紅酒和每個餐廳提供的酒的質量上。",1
"前天下午的時間...  同意等到, 髒兮兮的和便宜的商品。 同一項目被大多數的廠商銷售的。 不要浪費你的時間。 家子人與任何其他市場也看到了之後我像這只是, 和建議的時候。",0
"體驗  不是便宜的應有但我們有一個很不錯的美食和歐元重新衛生問題, 回收數。 正常的氛圍, 但虛假的寺廟有大量的金錢從我們的。 所有友好的工作人員告訴我們在活動後他是一個“壞人”但不嘗試停止時他。",1
"这个酒店太差了,酒店里竟然还有公司,而且还很多,见过这样的酒店吗？我是第一次,下回不会再住了,上下班高峰时,下楼要25分钟,我计算过连亲着两天.门童像个爷爷一样对你爱搭不理的.",0
電話線沒接上、浴室龍頭太緊轉不開，輾轉請維修人員服務等了半個小時，人員到了後在床邊跟浴室間走動沒脫鞋+態度不佳！如此高的住房價格卻沒有等值的服務品質！,0
"空中  我們意識到我們的夢想的路上我們在一個月西班牙葡萄牙。 到達我們的目的地,波爾圖,我們不得不通過同香港國泰航空公司。 隨着時間的推移我們去過很多國家有許多航空公司但這真的是我們終身難忘。 全體工作人員都非常周到,有禮貌和滿足我們的要求。 在機上餐飲是一些我們見過最棒的。",1
"我们所住过的最好的度假村！  我们带着我们的孩子目前ikos olivia谈话（3和10mo）住在一个别墅套房628房间。 我们从没写过评论但是这家酒店绝对是值得的。 我们是一个很难取悦的家人想找非常棒的儿童设施以及迷人的奢华和食物。 这家酒店正是我们想要的。 关于这个地方的一切都是很奢侈的肯定和5启动服务,设施,食物（特殊）,鸭羽绒被,等等... 每一分钱都值得！ 我一定会推荐这个家庭平房房间因为你有一个巨大的客厅和主卧室的门关上的能力。 阳台很大所以你可以在白天小憩和太阳晒日光浴的躺椅很舒服。  谢谢ikos我们不想离开和可能。 冻惨下一年再来！ 我唯一的小建议就是几个水的特性的一个儿童游泳池和儿童玩具的小游戏区里也许还有一些主要的自助餐厅。",1
"一個令人愉快的驚喜  通過新西蘭航空這是一個代碼共享服務。 我想我會了很多負面報道最近的一場不愉快的天空飛去。  食物也不差,但當然不如阿聯酋航空公司。 因爲每個人都告訴我上的座位不是很不舒服的。",1
我們這次去中國香港廣告  這是一個非常好的房間有舒適的飛行有很舒適的座位。 酒店的服務很好。 有很多工作人員來照顧你的乘客。 所有的食物都很好。 我們準時起飛時間和雲南省。 一定還會再選擇這家航空公司的。,1
"很棒的服務和可愛的環境  全包式酒店  這是一個佈置很不錯的超級酒店去哪裏都很方便... 海灘距離大部分的房間都只有幾步之遙。 房間很漂亮,舒適寬敞  我們住的是花園套房有自己的太陽躺椅。 酒店的服務是非常好的。 服務員在每個餐廳和海灘上（感謝亞當）竭盡全力取悅我們。 所有的員工都很有禮貌和樂於助人。 食物也很好  主餐廳的食物選擇的口味的最大的每頓飯都！ 我們大部分時候是在希臘和意大利爲吃海對面！  如果我們再去我們還會預訂豪華間因爲它有一個安靜的池區（主游泳池有許多小孩子玩得很開心... ）。 有一個可愛的溫泉泳池,桑拿,蒸汽房等等超過16歲的纔有權訪問。 我們花了很多時間在溫泉！ 我們的孩子很喜歡這裏的海灘和滑浪風帆等水上活動上了。 不適合浮潛的海水清晰度保兌人（我是一個比較挑剔的人雖然... !）。 這裏的海水很淺,平整和溫暖的是孩子的理想玩耍之和水上運動中心。 太陽躺椅和海灘總是很柔軟舒適。 酒吧都很有趣,大多數晚上都有歌手和音樂家舉辦。 總體來說是一個很好的2周假期和我錯過了冰鎮果汁的朗姆酒已經！",1
有一次很棒的住宿  這是我第二次在Ikos Olivia留宿，我對我的下一次回歸實在迫不及待了。酒店很漂亮的，包括地面都保持得特別乾淨。工作人員為您做足夠的工作，他們非常努力，以確保您擁有所需的一切。特別向喬治和海灘酒吧的Georgios歡呼！,1
酒店很脏，到处都是发霉的味道。,0
不想多说，就一句话，以后不会住了，不过前台的妹妹很漂亮。,0
飛行的航空公司  這次飛行是很好的。 配備了空調的女主人的行爲非常好。 飛機乾淨整潔而且有足夠的空間。 食物質量也很好。,1
该酒店是我住过的最差的酒店，房间设施陈旧，一股霉味，床单被褥粘糊糊的，最可气的是服务员绝然会栽赃陷害住客，我在那一共住了4天，7月20日结帐的时候前台说客房服务员检查发现有个付费毛巾被开封，我经常出差，住过无数酒店，还第一次遇到这种事情，我住酒店从不动那些付费用品，房间就我一个人住，其间没有任何访客，谁会去打开那个破包装毛巾，开了一个小口又不用，可酒店服务员硬说是我打开的，一个酒店硬件设施差点没什么，服务质量差点也有情可原，但服务员不诚实，甚至栽赃顾客是有本质问题的，奉劝大家千万不要住这家酒店。,0
第二；浴缸有头发，没有清洁的很干净,0
位置 地點真的很好 離青衣站很近 搭機場快線很方便 機能性極佳 下樓有商店有吃的 附近還有千色薈小型百貨公司 剛好在大窩口跟荃灣中間要走哪都行,1
"頂部的全包式酒店聯盟  從前臺的工作人員都很優秀,酒吧,餐廳到清潔工工作很用心。 他們竭盡全力讓我們的住宿非常愉快。 考慮到他們只開在五月初的時候你可以在預訂但是我們很高興我們科素亞。 說實話他們的價格通過網上預訂的第一選擇或直接的第一個旺季。 我預計這將提高淨年由100％或更多的因爲這是老家的世界領先的酒店。 怎麼會有人抱怨這家酒店是我說了算但是總是有串行抱怨在每一個行業。 把所有涵蓋到另一個級別的這家酒店,很棒的住宿均裝飾高雅,一個葡萄酒菜單Savoy酒店會爲之驕傲的是我們遇到過的最好的員工管理&&。 特別要感謝George在茴香酒卡內爾瓦Debbie（這就是我們給你打電話!）。 炒雞蛋早餐是最好的,非常感謝。 所有的阿拉卡特酒店是頂尖的飯店但特別提到再到法國餐廳和意大利Antonis Stefanos。 他們還有喬治在希臘。 讓我們的2個星期非常特別。 絕對不能不提李日榮幫他所有的酒吧似乎我到處都看了但在好的方面,有幫助或提供援助。  溫泉很棒而且我要感謝Alex的按摩（我吃過的最好的（和戴安娜經理,期待在九月份預定老齡部。 最後的明星是經理Timos ,太謝謝你了,知道你正在努力把這家酒店關閉一.一個美好的開始。 希望你的老闆明白這點。 如果你正在考慮預訂這家酒店不要猶豫或被負面評論。 我們已經預訂了再來9月26日  應該說在本身！",1
可愛的夜晚  這是一個很好的方式來消磨夜晚的。 它知道一切結束進入的市場但是很棒的是喧囂。,1
我对这家酒店的感觉不太好。,0
第一次来，主要是贪便宜，然后因为事多就没去找其它酒店了，住着住着也就习惯了，服务员都会跟你打招呼，前台服务员有的好有的差，好的还不错，差的就没话说了，住的单人房，窗户关不紧，说是出了事有摄像头，地毯脏的不行，气味严重，前台在六楼，不太方便，早餐不要提了，没法吃，中餐晚餐不提供。每晚都有骚扰电话，决不会没有。空调是中央空调，房内调节器如同摆设，后来找到其它酒店后就搬走了，还是住了十天。,0
1。我住的是靠马路的标准间。房间内设施简陋，并且的房间玻璃窗户外还有一层幕墙玻璃，而且不能打开，导致房间不能自然通风，采光不好。,0
"非常有趣的地方  非常有趣的地方,有很多賣小飾品和紀念品的。 如果你餓了有很多當地的美食攤位坐下來吃飯。",1
浴室的玻璃门没有了，干湿无法分离，洗个澡到处都是湿的。没有配备洗脸毛巾、矿泉水、咖啡茶包等，咖啡杯上有根头发,0
"便宜又實惠  很棒的小市場的各種貨物的價格很合理, 有一些小型玉器插圖和一些動漫在從來沒有收藏品, 以及一些 t 恤  觀看它們的尺寸與您想像一個小於此處 XL 大概是這裏一箇中型  英國  抱在美國。",1
暂时没有,0
"商務候機室實在太多人了,",0
"體面的航空公司  這是一個很好的航空公司有很好的服務但是出站的航班上的座位也很不舒服！ 這不是很好一個12.5小時飛行和我很高興就錯開！ 因爲國泰航空公司有這樣一個良好的聲譽。 我期望的是一切都非常好但食物只是一般和有點兒無味。 也許這是因爲我點了一個無谷蛋白的一頓飯。 我很喜歡這裏的小點心鍋的麵條,雖然。 都很美味！ 廁所很好（有足夠的空間和一個很大的）有卡拉索爾公寓和潤膚霜在婦女。 這裏的服務很好。 回程的飛機上的座位是在不同的平面和可愛  有什麼差別！ 又是一個有點無味的飯菜,但是我會把此歸結爲是有無麩質選擇（雖然這絕對不應該有什麼區別？ ）。",1
健身房24小時,1
服务超nice，地点方便。赶上婆婆生日还送了蛋糕到房间，谢谢,1
其中一個最好的香港？  在香港我們去過的最棒的一個市場附近還有普通的商店的喧囂和女人街是太多的。 但是有很多攤位上有很多重複的種類要比你太廟街上的。   一定要討價還價因爲你看到的價格不應與一個你所支付的費用。 而且它真的很棒很有趣的送上一個計算器和在您的投標中輸入你想要的。 但請記住您應始終走不遠如果你覺得它太多,1
晚上購物  在香港，女士市場很受夜間購物的歡迎。你需要的就是那裡。從襯衫到包包，玩具，圍巾，手機配件都有它的名字。每條街都提供不同的東西。有一條電子街，如手機和相機，一條街，你可以買到所有原裝鞋，但當然你不能討價還價，為食物和夜市街道，你可以討價還價。我的孩子們喜歡在那裡購物，甚至在討價還價中學到了一兩件事。,1
"令人驚歎的！   我們最近剛從一個星期的假期都在非常棒的ikos olivia。 這是我們第二次和這次比上次！ 我們通常不會在一個地方但高品質的設施和高水準的所有員工的服務都讓我們想再來。 我的2歲的女兒非常喜歡游泳池和溫暖的沙子城堡在海灘上的工作人員都很難維護。 真的很喜歡這裏的兒童俱樂部也非常棒和她在這裏呆幾天早晨她做各種創意的東西！ 餐廳很棒,我們尤其喜歡希臘&亞洲和出去吃了一家當地的小酒館的選項。 我們還在一個輕鬆的早晨就在水療館裏我建議大家也這樣。 工作人員竭盡全力照顧你使你的住宿難忘。 清潔工把房間保持的一塵不染而且做的很好。 特別要感謝tasos他非常的樂於助人而且很受歡迎帶着我們的小女孩聊天的時候他總是花時間仍然會問起她關於他的現在我們回到家了！ 酒店很受年輕家庭的每一個需要和滿足,例如牀警衛他們提供給我們的女兒還有他們可以向你提供便壺等等。 晚上的娛樂活動在theatro的真是棒極了,如果這家酒店是在每天晚上都會更好。 我不能推薦這家酒店都不爲過,我們已經預定了明年再來的時候我們會有另一個除了家人一起！ 感謝所有的工作人員在ikos你做的很好。",1
糟透的國泰  這次坐國泰真的是充滿期待是因為國泰給我印象一向都不差，可惜這次因為颱風關系而搞到我很不滿；原因是安排完全不好，而且訂好後補又不給我坐而且反而要我坐3天後的航班，我真的不知道訂票員工是如何搞。餐食真的很爛就是一個不知什麼的燒餅配餅干以及雀巢檬茶，我真的很傻眼！空服員的態度只是一般而且沒有及時協助他人，但我常常見到他們在聊天。,0
"大厅雄伟, 但前台和房间太小、(走廊太长)房间分布太散，找同伴很累。如果能将宾馆分为2个馆,前台也分开,应该会有所改善。",0
第一天就退房了，建議大家真的不要去..,0
酒店太脏、太旧、太破！房间厕所都是下水道的臭味！地毯已经旧的看不清楚颜色了。电视机只有6个频道！我真是晕哦！前台服务员都是坐着看着报纸工作的，而且前台只有1个服务员。客房服务员不敲门就开门进来的，受不了哦！！,0
"如果只有一個 6 顆星的評價——壯觀的 Murray 香港  我最近讀到一篇文章，一個華麗的建築雜誌，一項新的諾曼福斯特酒店是由於開放式的，我一直很期待來這家新酒店。 我的夥伴和我決定預訂一晚的 Murray 香港慶祝我的生日。  有幾個郵件,這家酒店的團隊提前入住，以確保我們的入住很順利。  在登記入住的時候，他們說：“你必須要過生日的男孩！ 生日快樂！ “哇！ 我沒有想到，這讓我感到很溫馨！ 然後我準備的生日禮物只是變得更好了——我們已經昇級了！ 這是慷慨大方！  從前台里斯托弗引領我們到我們的房間辦理入住手續，這是這家店的魔法開始了。 套房本身很寬敞，可以俯瞰寧靜的香港公園。 每個細節都是經過仔細考慮的——房間很寬敞，免費的迷你酒吧，還提供 TWG 茶飲的選擇和 Dean&deluca 小吃，有電動百葉窗，床上用品，豪華的毛巾和拖鞋，用的是 Frette 的、芳香的設施， Achemist ，即使在種植的滑動的玻璃門有一些技巧也很棒！ 所有的一切都是頂級的。 他們還裝飾了套房，有氣球，法式甜甜的待遇，甚至有個生日蛋糕都已經安排在套房裡。 我只能想象的巨大的努力去後面，以確保我的生日都是完美的！  這裏的套房很好地關掉之後，我們剛剛吃完晚飯回來。 這裏的保溼面膜，天氣要注意看這裏的床是真的，真的很人性化，令人驚嘆。  醒來時，從一個很棒的睡眠，我們下樓去吃早餐。 再來的！ 很棒的選擇：冷盤、果汁、麵包店，你的名字。 我們還點了一個照單點菜的菜單，雞蛋做法,中式點心,粥可供選擇。 所有的一切都可以根據我們的喜好。  最後有一個驚喜，他們給了我一個手工製作的生日賀卡,當我們退房的時候。 我的意思是，拜託！ 停止破壞了我們！  這家酒店有最好的工作人員。 前台、餐廳、健身房、客房服務、禮賓部等，他們的魔法的製造者！",1
尋找鞋？  如果你正在尋找一個新的一雙鞋，想要以更便宜的價格，再擺在鞋街。 他們有各種各樣的品牌，從 Nike 到 Rebok 來 KSWISS 。  有趣的街區去走走逛逛。,1
"还是一个多月前住的了.印象很深刻.酒店外表看起来是很不错.里面还算一般了.给我印象深刻的是我第2天屁股就开始痒.害我赶快去看了医生.还好.没什么问题.可能是被子没洗干净.上面有细菌.肯定没消毒.被子不可能没换吧???建议大家以后还是住贵点的.不要贪便宜.也就一两百快的事情.象后来咱们去东莞住的海悦就非常好.500多一晚上.房间大.很新.环境也很好.服务员态度也很好。总之什么都很好.很满意.很值.相信深圳的海悦也不会差.我现在都不敢住3星4星的啦.哎,不放心啦.",0
"9月9日入住,从小事即可见一斑：浴帘比浴盆高200毫米，弄得卫生间一地水，功能丧失，不如说是遮羞布；餐厅桌布油迹斑斑，服务员总是理直气壮地回答，昨晚忘记换了。",0
"很喜歡這裏!但是很難討價還價  我很喜歡逛夜市,非常喜歡附近的海鮮熟食店,而且總能找到不錯的禮物帶回家去。這裡會營業到很晚,周末差不多能到凌晨一點多。由於小販被遊客的高價給慣壞了,所以講起價來很難。但是如果你覺得價錢不合適,可以直接走開,他們會拉着你,而且在其他攤位可能會發現更便宜的,女人街也有。",1
"玩的好地方  有很多商店,還有很多可以討價還價,很棒的食物在晚上一直營業到很晚。 安全也很好坐出租車和公共交通連接。 在香港一個必去的地方。",1
旅遊飛航的好選擇  今年的家庭旅遊，選的是日本關西大阪京都九日遊，因為是在暑假期間，所以早在三月份就上網訂機票，國泰航空的票價在暑期來說，只比廉航略貴一兩千，因為去年也搭過它去東京，飛航十分穩，服務也週到快捷，這次也是有好的印象，餐點雖也是精簡，但算可口，更驚喜的是，居然有哈根達斯的冰淇淋，更可以累積我亞洲萬哩通哩數真的很不錯，唯一不好的是，飛日本是下午四點，回台灣是上午十點，時間上比較差。,1
"沒有比這更糟糕的飛行  我們的航班本來應該在離開415。 它現在是653和我們還坐在停機坪上的門是關着的。 從嚴格意義上來說,這使它成爲準時離開。 還有我們的狀態已經沒有任何解釋,可能是什麼錯誤,或當我們要離開的時候。   更新： 飛機晚點3小時將和我們都坐在一個小時的時候診斷計算機。 真的？   這是,到目前爲止,這是我去過的最差的航空公司。   不能推薦的方式飛行人員處理此問題。 我沒有在這家航空公司的信心。   避免。",0
"很棒的旅館的話  這個市場就在彌敦道和中午到晚上會打開。 這裏也有普通覈准圖的手提包,手錶和T恤以及一些當地紀念品。 您還可以從街上的小販買食物（如果你是遊戲）。 非常值得一遊。",1
房間若能有小小毛絨玩具會更好,0
不過的體驗  比國行體驗舒服很多 空乘的態度很好  以後去香港玩還要做國泰 飛行很平穩 機上餐點飲料都很喜歡 時間長 還睡了一覺  哈哈  不錯,1
"去亚博考试,提前预定出租车.他们说早晨人手不够,要自己去马路上拦车.推荐他们的巴士，我们只好预定了去亚博考试大巴100港币每人。当我们按约定时间6点半到大堂,当天有6辆，等到7点10分,最后一辆巴士还没来.在场的家长和学生都急死了.工作人员只顾着自己聊天说笑.早知道还不如乘酒店门口的A31巴士直达机场再中转亚博。",0
"可愛的假期  我們是一對夫妻是世界各地旅遊過很多地方今年我們決定去Olivia Ikos的全新的,出色的酒店。 我們預訂的海景房茴香酒餐廳旁邊就是我們最喜歡的地方吃午餐和晚餐。  到達的時候我們受到了熱情的歡迎在機場奔馳豪華轎車的司機非常有禮貌,還有免費的水和免費的網絡。 當我們到達酒店的時候,門房把我們的行李和我們辦理登記手續非常迅速。 也在同一時間我們預訂了我們的按菜單點菜的晚餐我們所有的十天裏有非常簡單的過程。 僅供參考旅行前我們預訂了前兩個通過前臺點菜。  助理客戶經理Nikoleta了兒子對我們的可愛的小屋裏黃金車裝飾的很漂亮,我們冰箱裏的飲料每天都會更換和濃咖啡。  所有所有餐廳包括主餐廳的食物很棒。  他們提供了一個菜單有超過300來自世界各地的葡萄酒類型。 所有包括在價格中。  酒店位於一個點菜菜單非常壯觀,我們喜歡他們所有的人,在這裏我們度過了最放鬆的普羅旺斯,意大利最好的夜晚的美景,但是有一個很棒的亞洲是茴香酒,有很棒的海景,很棒的食物,很棒的服務。  我們要提一下喬治這送到哇。 等不及要看他明年夏天。 提供很棒的服務他應該得到提升作爲一個值班經理在Gregory亞洲點菜了一個他們現在沒有管理技能。   這一區域很可愛,他們照顧的很好的花園。  泳池很棒有很棒的日光浴椅子和大遮陽傘。   缺點：  客房服務需要改進。 例如有一天我們發現有很多昆蟲在露臺外面,主管還有一些噴霧和一個很不專業的評論她使你想要你的別墅是有蟲子很正常。 不過她趕跑了。  客人服務無法執行額的鮮花我丈夫點了十年的婚禮週年紀念日。 當他打電話給前臺他們說什麼也不知道了。 所以如果你決定慶祝的一個活動裏Olivia或提醒他們每天都會對它三思而後行的。  我不知道什麼是Policy 的孩子但是我從來沒見過這麼多的孩子在同一個地方。",1
一家連接碼頭和高鐵的Shopping Mall  這是一家全能的ShoppingMall。 首先這裡有著名的酒店可供休息。 其次，有多家中式、日式的餐飲。 還有星巴克這樣的咖啡廳。 購物有無印良品、優衣庫和索尼這樣的品牌專賣店； 也有屈臣氏和萬寧這樣的葯妝店。 同時，它連接碼頭和九龍高鐵。 這個地方非常值得花時間逛逛。,1
"依然是最好的航空公司  有幾家航空公司在過去5年的飛行之後,仍然是最好的我去過的最上國泰航空公司。 即使在經濟,座位不是太緊,腿部空間都足夠舒服的長途。 真正的。 我累了還有活動在某一點上,不過這很正常的人超過3小時張廣博。  他們有很多不錯的電影,連續劇,紀錄片,音樂,遊戲等娛樂活動讓乘客,如果他們不能睡覺。 延遲降到最低。 食物比大部分航空公司在我經歷過的。  我甚至很幸運地被升級到公務艙免費,和商務艙。 我只有稱讚。 整個機組人員都在那兒打來電話的時候你需要他們。 這是我第一次在飛機上真的睡得很好,而且在長途飛行在。 食物更好。",1
帶著孩子可以體驗到國泰的親切  帶著2y的寶貝搭飛機，是個挑戰!擔心飛航的舒適性與起飛降落時的會引起的不適感!這是第三次帶著寶貝搭國泰，此次空姐對寶貝會特別的留意他的狀況，並主動提供毯子與枕頭讓寶貝可以坐的比較舒適。讓我們印象都很好!可惜的是飛香港現在只有提供三明治，所以寶貝不吃麵包就沒有東西可以吃了!,1
房間比預期中小了一點，高級房沒有暖氣。,0
"非常棒的度假村  我們住在酒店的主樓,頂層的海景。 可愛的設施,維護得很好,服務很棒。 室外游泳池的水是加熱過的所以能游泳的天氣。 食物是有六種不同的餐館和總是有一個可愛的選擇。 這是我唯一的不滿是有基於國際和希臘食品是不夠的。 度假村建在一個小村莊中間的橄欖樹林和度假村外面這個區域很平坦的地方還有很多值得發掘或步行到。 但是這個地方很適合休息和娛樂和我們期待着再去一次。",1
房间还不错，床铺比较干净，这是优点。,0
"性價比很高服務很好  性價比很高服務很好,這次飛行是很順利,乘務人員也非常友好和樂於助人。",1
这个酒店太没有职业精神了！等半天打不到一辆taxi，结帐时没给发票……客房条件一般……,0
房間太小，都沒有茶包跟小點心，花這個錢不值得,0
一般，总的来说不及莫泰。交通也不是特别便利。以后不会在去这家酒店,0
第一：从预订看酒店和携程。,0
酒店前台服务一般，一层parking的工作人员不够灵活。,0
